"","X","BLOCK","QES","ALT","dolce","bottiglia","salame","torrone","cioccolatini","miele","grana","prezzo"
"1",1,1,1,1,"Panettone, ","Passito, ","Salame,","Torrone,","","","","- 10 euro"
"2",17,1,1,2,"Pandoro,","Passito, ","Salame,","","Cioccolatini,","Miele,","","- 10 euro"
"3",33,1,1,3,"Panettone, ","Spumante,","","Torrone,","","","Grana","- 13 euro"
"4",2,1,2,1,"Panettone, ","Passito, ","Salame,","","Cioccolatini,","","Grana","- 13 euro"
"5",18,1,2,2,"Pandoro,","Spumante,","","Torrone,","Cioccolatini,","","Grana","- 10 euro"
"6",34,1,2,3,"Pandoro,","Spumante,","Salame,","Torrone,","Cioccolatini,","Miele,","Grana","- 16 euro"
"7",3,1,3,1,"Panettone, ","Passito, ","Salame,","Torrone,","Cioccolatini,","Miele,","Grana","- 16 euro"
"8",19,1,3,2,"Panettone, ","Spumante,","Salame,","","Cioccolatini,","Miele,","","- 16 euro"
"9",35,1,3,3,"Panettone, ","Spumante,","","","Cioccolatini,","","","- 10 euro"
"10",4,1,4,1,"Panettone, ","Passito, ","Salame,","","","Miele,","","- 20 euro"
"11",20,1,4,2,"Pandoro,","Passito, ","Salame,","Torrone,","Cioccolatini,","","","- 13 euro"
"12",36,1,4,3,"Pandoro,","Spumante,","Salame,","","Cioccolatini,","","Grana","- 13 euro"
"13",5,1,5,1,"Panettone, ","Spumante,","","","","Miele,","Grana","- 10 euro"
"14",21,1,5,2,"Pandoro,","Spumante,","","","","","","- 20 euro"
"15",37,1,5,3,"Pandoro,","Spumante,","Salame,","Torrone,","","","","- 10 euro"
"16",6,1,6,1,"Pandoro,","Spumante,","Salame,","Torrone,","","","","- 16 euro"
"17",22,1,6,2,"Panettone, ","Passito, ","","Torrone,","","Miele,","","- 10 euro"
"18",38,1,6,3,"Panettone, ","Passito, ","Salame,","Torrone,","Cioccolatini,","Miele,","Grana","- 10 euro"
"19",7,1,7,1,"Panettone, ","Spumante,","","Torrone,","Cioccolatini,","Miele,","","- 13 euro"
"20",23,1,7,2,"Panettone, ","Spumante,","Salame,","Torrone,","","Miele,","Grana","- 13 euro"
"21",39,1,7,3,"Pandoro,","Passito, ","","","Cioccolatini,","","","- 16 euro"
"22",8,1,8,1,"Pandoro,","Passito, ","","","","Miele,","Grana","- 16 euro"
"23",24,1,8,2,"Pandoro,","Spumante,","","","Cioccolatini,","Miele,","Grana","- 13 euro"
"24",40,1,8,3,"Pandoro,","Passito, ","","Torrone,","","","Grana","- 20 euro"
"25",9,2,1,1,"Pandoro,","Passito, ","","Torrone,","","","Grana","- 13 euro"
"26",25,2,1,2,"Panettone, ","Passito, ","","","Cioccolatini,","Miele,","Grana","- 20 euro"
"27",41,2,1,3,"Pandoro,","Passito, ","","","","Miele,","Grana","- 10 euro"
"28",10,2,2,1,"Pandoro,","Spumante,","Salame,","Torrone,","Cioccolatini,","Miele,","Grana","- 10 euro"
"29",26,2,2,2,"Panettone, ","Spumante,","Salame,","Torrone,","Cioccolatini,","","","- 20 euro"
"30",42,2,2,3,"Panettone, ","Spumante,","","Torrone,","Cioccolatini,","Miele,","","- 20 euro"
"31",11,2,3,1,"Pandoro,","Passito, ","","Torrone,","Cioccolatini,","Miele,","","- 20 euro"
"32",27,2,3,2,"Pandoro,","Passito, ","Salame,","","","","Grana","- 16 euro"
"33",43,2,3,3,"Panettone, ","Spumante,","","","","Miele,","Grana","- 16 euro"
"34",12,2,4,1,"Pandoro,","Spumante,","Salame,","","Cioccolatini,","","Grana","- 20 euro"
"35",28,2,4,2,"Pandoro,","Passito, ","Salame,","Torrone,","","Miele,","Grana","- 20 euro"
"36",44,2,4,3,"Panettone, ","Passito, ","Salame,","","","Miele,","","- 13 euro"
"37",13,2,5,1,"Panettone, ","Spumante,","","Torrone,","","","Grana","- 20 euro"
"38",29,2,5,2,"Panettone, ","Passito, ","","Torrone,","Cioccolatini,","","Grana","- 16 euro"
"39",45,2,5,3,"Panettone, ","Passito, ","Salame,","Torrone,","","","","- 16 euro"
"40",14,2,6,1,"Panettone, ","Spumante,","","","Cioccolatini,","","","- 16 euro"
"41",30,2,6,2,"Pandoro,","Spumante,","","Torrone,","","Miele,","","- 16 euro"
"42",46,2,6,3,"Pandoro,","Spumante,","Salame,","","","Miele,","","- 20 euro"
"43",15,2,7,1,"Pandoro,","Passito, ","","","Cioccolatini,","","","- 10 euro"
"44",31,2,7,2,"Panettone, ","Passito, ","","","","","","- 13 euro"
"45",47,2,7,3,"Panettone, ","Passito, ","Salame,","","Cioccolatini,","","Grana","- 20 euro"
"46",16,2,8,1,"Pandoro,","Spumante,","Salame,","","","Miele,","","- 13 euro"
"47",32,2,8,2,"Panettone, ","Spumante,","Salame,","","","","Grana","- 10 euro"
"48",48,2,8,3,"Pandoro,","Passito, ","","Torrone,","Cioccolatini,","Miele,","","- 13 euro"
